term_id,term_nl_nl,language_source,term_fr_fr,language_target,term_type,legal_reference,source_file,bwb_id,extraction_date,legal_domain
a03c96db-e65a-4537-b0a8-7619e9e26717,Interest,nl-nl,Intérêts,fr-fr,article_title,Artikel 11,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
f0f62d70-ddb9-4075-b607-68acc865a8d4,Royalty’s,nl-nl,Redevances,fr-fr,article_title,Artikel 12,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
e580f2a6-4a7e-4e5a-b307-02f3fe8433a0,Vermogenswinsten,nl-nl,Gains en capital,fr-fr,article_title,Artikel 13,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
d5def51a-dcd4-43d8-bc75-298511dccbd7,Zelfstandige arbeid,nl-nl,Professions indépendantes,fr-fr,article_title,Artikel 14,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
dcfd3eb5-b8c0-4edf-96b2-9e43784d79f6,Niet-zelfstandige arbeid,nl-nl,Professions dépendantes,fr-fr,article_title,Artikel 15,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
2011df55-63d2-44da-997d-41f88b6c482d,"Beheerders, bestuurders en commissarissen van vennootschappen",nl-nl,"Administrateurs, directeurs (bestuurders) et commissaires (commissarissen) de sociétés",fr-fr,article_title,Artikel 16,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
ff4b66ca-9831-441b-8bec-758e7f4e7269,Artiesten en sportbeoefenaars,nl-nl,Artistes et sportifs,fr-fr,article_title,Artikel 17,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
1f8ae489-2599-4965-b9d5-b86feeab11ce,Pensioenen,nl-nl,Pensions,fr-fr,article_title,Artikel 18,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
b7353525-13b4-4cad-8f8e-64a208fb9c6f,Overheidsfuncties,nl-nl,Fonctions publiques,fr-fr,article_title,Artikel 19,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
28b7e576-5f8c-4a07-8db7-3242958adac4,Hoogleraren en leraren,nl-nl,Professeurs,fr-fr,article_title,Artikel 20,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
aaa1b72a-acc8-4ee2-8b82-d9008550ed8c,Studenten en personen in opleiding,nl-nl,Etudiants et stagiaires,fr-fr,article_title,Artikel 21,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
f255e1b6-ba6d-4709-bdc9-7e9af3f9a377,Overige inkomsten,nl-nl,Autres revenus,fr-fr,article_title,Artikel 22,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
8ca0550f-5b72-4835-930b-cb186ec2f81a,Belastingheffing naar het vermogen,nl-nl,Imposition de la fortune,fr-fr,article_title,Artikel 23,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
13e47897-e51b-420d-9267-c30407a1787f,Bepaling tot vermijding van dubbele belasting,nl-nl,Dispositions pour éliminer les doubles impositions,fr-fr,article_title,Artikel 24,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
9be87dcc-01e9-4abe-adaf-0193cb2f594f,Non-discriminatie,nl-nl,Non-discrimination,fr-fr,article_title,Artikel 25,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
fca04092-7eab-4f5f-8a73-71aaa0c100d5,Toepassing van de Overeenkomst,nl-nl,Application de la Convention,fr-fr,article_title,Artikel 26,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
e00930ab-e856-45a0-a4d8-fa7530c14162,Regeling voor onderling overleg,nl-nl,Procédure amiable,fr-fr,article_title,Artikel 27,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
06fd2c48-2a86-4696-9a65-d90634473467,Uitwisseling van inlichtingen,nl-nl,Echange de renseignements,fr-fr,article_title,Artikel 28,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
0dda6298-9e99-4d80-a1ec-6409a32ef85b,Diplomatieke en consulaire ambtenaren,nl-nl,Fonctionnaires diplomatiques et consulaires,fr-fr,article_title,Artikel 29,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
5826d8f1-7804-4751-9708-b50b8378823d,Uitbreiding tot andere gebieden,nl-nl,Extension territoriale,fr-fr,article_title,Artikel 30,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
833ac12a-7162-43b4-9737-5e9cc95faea8,Inwerkingtreding,nl-nl,Entrée en vigueur,fr-fr,article_title,Artikel 31,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
fece8699-0454-4477-97d9-6ebceb19fe7e,Beëindiging,nl-nl,Dénonciation,fr-fr,article_title,Artikel 32,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
da2a7f6e-5eef-452a-ab62-ce03e4594984,Deze Overeenkomst is van toepassing op personen die inwoner zijn van een van de Staten of van beide Staten.,nl-nl,La présente Convention s'applique aux personnes qui sont des résidents de l'un des Etats ou de chacun des deux Etats.,fr-fr,paragraph,Artikel 1 para 1,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
7739357e-72e8-4807-85e8-98ff761031eb,"Deze Overeenkomst is van toepassing op belastingen naar het inkomen en naar het vermogen die, ongeacht de wijze van heffing, worden geheven ten behoeve van elk van de Staten of van de staatkundige onderdelen of plaatselijke publiekrechtelijke lichamen daarvan.",nl-nl,"La présente Convention s'applique aux impôts sur le revenu et sur la fortune perçus pour le compte de chacun des Etats, de ses subdivisions politiques et de ses collectivités locales, quel que soit le système de perception.",fr-fr,paragraph,Artikel 2 para 1,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
e17a8ad0-84b3-4caa-b552-06a2df0ede60,"Als belastingen naar het inkomen en naar het vermogen worden beschouwd alle belastingen die worden geheven naar het gehele inkomen, naar het gehele vermogen of naar bestanddelen van het inkomen of van het vermogen, daaronder begrepen belastingen naar voordelen verkregen uit de vervreemding van roerende of onroerende zaken, alsmede belastingen naar waardevermeerdering.",nl-nl,"Sont considérés comme impôts sur le revenu et sur la fortune les impôts perçus sur le revenu total, sur la fortune totale, ou sur des éléments du revenu ou de la fortune, y compris les impôts sur les gains provenant de l'aliénation de biens mobiliers ou immobiliers, ainsi que les impôts sur les plus-values.",fr-fr,paragraph,Artikel 2 para 2,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
eb6cf6bf-3af3-49e6-b05b-08dce4015b6f,"De belastingen waarop de Overeenkomst van toepassing is, zijn:",nl-nl,Les impôts auxquels s'applique la Convention sont:,fr-fr,paragraph,Artikel 2 para 3,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
13b8841d-34b8-437c-8ee8-8954dfd82f1a,voor Nederland:,nl-nl,en ce qui concerne les Pays-Bas:,fr-fr,paragraph,Artikel 2 para 4,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
a6cc6681-cdf6-46ac-8fe5-30646ac79ca9,de inkomstenbelasting:,nl-nl,l'impôt sur le revenu (de inkomstenbelasting) ;,fr-fr,paragraph,Artikel 2 para 5,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
e14dfe61-8428-412c-a6c5-c8d1c119988f,de loonbelasting;,nl-nl,"l'impôt sur les traitements, salaires, pensions (de loonbelasting ) ;",fr-fr,paragraph,Artikel 2 para 6,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
de7b705d-fcde-4381-82c2-5f8959f12c6b,de vennootschapsbelasting;,nl-nl,l'impôt des sociétés (de vennootschapsbelasting) ;,fr-fr,paragraph,Artikel 2 para 7,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
f101a050-e3ca-4d11-b898-1956a377a30a,de dividendbelasting;,nl-nl,l'impôt sur les dividendes (de dividendbelasting) ;,fr-fr,paragraph,Artikel 2 para 8,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
55e80a8b-50ae-46ce-b8bd-ebad987b00da,de vermogensbelasting;,nl-nl,l'impôt sur la fortune (de vermogensbelasting) ;,fr-fr,paragraph,Artikel 2 para 9,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
a0cc2a65-4887-4989-8ab6-c06d15f86f30,(hierna te noemen: „Nederlandse belasting”);,nl-nl,(ci-après dénommés: „l'impôt néerlandais”);,fr-fr,paragraph,Artikel 2 para 10,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
533b18b2-7995-497e-83bb-e5e5750888c1,voor Frankrijk:,nl-nl,en ce qui concerne la France:,fr-fr,paragraph,Artikel 2 para 11,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
ef108825-4087-4439-944a-632309b74f4f,l'impôt sur le revenu (de inkomstenbelasting);,nl-nl,l'impôt sur le revenu;,fr-fr,paragraph,Artikel 2 para 12,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
756ec627-5b6b-4b25-8bcc-b4ad495ef33c,l'impôt sur les sociétés (de vennootschapsbelasting);,nl-nl,l'impôt sur les sociétés;,fr-fr,paragraph,Artikel 2 para 13,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
c2994e6e-fedd-4c14-aa58-912deba01d8b,la contribution des patentes (het patentrecht) voor wat betreft artikel 8 ;,nl-nl,la contribution des patentes en ce qui concerne l' article 8 ;,fr-fr,paragraph,Artikel 2 para 14,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
aeb2ae24-ed59-45f4-be07-1f80c076f0c0,"daaronder begrepen alle heffingen bij de bron, „précomptes” of vooruitbetalingen die in mindering worden gebracht op de hiervoor bedoelde belastingen;",nl-nl,"y compris toutes retenues à la source, tous précomptes ou avances décomptés sur les impôts visés ci-dessus;",fr-fr,paragraph,Artikel 2 para 15,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
abcaf778-4a1d-4290-ad63-4d0fd8165cc7,(hierna te noemen „Franse belasting”).,nl-nl,"(ci-après dénommés: ,,l'impôt français”).",fr-fr,paragraph,Artikel 2 para 16,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
5016282c-d002-4a54-840c-7429c12b2da2,"De Overeenkomst is ook van toepassing op alle gelijke of in wezen gelijksoortige belastingen die in de toekomst naast of in de plaats van de bestaande belastingen worden geheven. De bevoegde autoriteiten van de Staten delen elkaar alle belangrijke wijzigingen die in hun onderscheiden belastingwetgevingen zijn aangebracht, mede.",nl-nl,La Convention s'appliquera aussi aux impôts futurs de nature identique ou analogue qui s'ajouteraient aux impôts actuels ou qui les remplaceraient. Les autorités compétentes des Etats se communiqueront les modifications importantes apportées à leurs législations fiscales respectives.,fr-fr,paragraph,Artikel 2 para 17,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
13787a8e-763a-4644-9237-f56fec64de72,In deze Overeenkomst:,nl-nl,Au sens de la présente Convention:,fr-fr,paragraph,Artikel 3 para 1,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
551cd23f-71c2-455d-b517-6de903403d5d,"betekent de uitdrukking „Staat” Nederland of Frankrijk, al naar het zinsverband vereist;",nl-nl,"le terme „Etat” désigne, suivant le contexte, les Pays-Bas ou la France;",fr-fr,paragraph,Artikel 3 para 2,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
e4456d82-8142-4947-9ac6-88abc0a0d634,"betekent de uitdrukking „Nederland” het deel van het Koninkrijk der Nederlanden dat in Europa is gelegen, en de buiten de territoriale wateren van het Koninkrijk der Nederlanden gelegen gebieden waarover het Koninkrijk der Nederlanden in overeenstemming met het internationale recht en volgens zijn wetgeving de rechten met betrekking tot de zeebodem, de ondergrond daarvan en hun natuurlijke rijkdommen kan uitoefenen;",nl-nl,"le terme „Pays-Bas” désigne la partie du Royaume des Pays-Bas qui est située en Europe et les zones situées hors des eaux territoriales du Royaume des Pays-Bas sur lesquelles, en conformité avec le droit international et selon sa législation, le Royaume des Pays-Bas peut exercer les droits relatifs au lit de la mer, au sous-sol marin et à leurs ressources naturelles;",fr-fr,paragraph,Artikel 3 para 3,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
23b5c7b6-5591-4635-a9e1-61bbbb691c1b,"betekent de uitdrukking „Frankrijk” de in Europa gelegen departementen en de overzeese departementen van de Franse Republiek (Guadeloupe, Guyana, Martinique en Réunion) en de buiten de territoriale wateren van Frankrijk gelegen gebieden waarover Frankrijk in overeenstemming met het internationale recht en volgens zijn wetgeving de rechten met betrekking tot de zeebodem, de ondergrond daarvan en hun natuurlijke rijkdommen kan uitoefenen;",nl-nl,"le terme ,,France” désigne les départements européens et les départements d'outre-mer (Guadeloupe, Guyane, Martinique et Réunion) de la République française et les zones situées hors des eaux territoriales de la France sur lesquelles, en conformité avec le droit international et selon sa législation, la France peut exercer les droits relatifs au lit de la mer, au sous-sol marin et à leurs ressources naturelles;",fr-fr,paragraph,Artikel 3 para 4,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
cc5d5dd4-8bce-4cc8-a7de-60edc6e9c9d2,omvat de uitdrukking „persoon” een natuurlijke persoon en een lichaam;,nl-nl,"le terme ,,personne” comprend les personnes physiques et les sociétés;",fr-fr,paragraph,Artikel 3 para 5,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
85863621-2d18-409a-94d9-9d857cae3e91,betekent de uitdrukking „lichaam” elke rechtspersoon of elke eenheid die voor de belastingheffing als een rechtspersoon wordt behandeld;,nl-nl,"le terme ,,société” désigne toute personne morale ou toute entité qui est considérée comme une personne morale aux fins d'imposition ;",fr-fr,paragraph,Artikel 3 para 6,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
3e160ebf-e179-49d9-a171-8d2dd6ff71f8,betekenen de uitdrukkingen „onderneming van een van de Staten” en „onderneming van de andere Staat” onderscheidenlijk een onderneming gedreven door een inwoner van een van de Staten en een onderneming gedreven door een inwoner van de andere Staat;,nl-nl,"les expressions ,,entreprise de l'un des Etats” et „entreprise de l'autre Etat” désignent respectivement une entreprise exploitée par un résident de l'un des Etats et une entreprise exploitée par un résident de l'autre Etat;",fr-fr,paragraph,Artikel 3 para 7,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
9bcaee7a-d8d9-4e0c-915c-00e10ff94e05,betekent de uitdrukking „bevoegde autoriteit”:,nl-nl,"l'expression ,,autorité compétente” désigne:",fr-fr,paragraph,Artikel 3 para 8,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
baec3aac-f854-4131-949e-5cc11f1d036b,in Nederland de Minister van Financiën of zijn bevoegde vertegenwoordiger;,nl-nl,aux Pays-Bas: le Ministre des Finances ou son représentant dûment autorisé;,fr-fr,paragraph,Artikel 3 para 9,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
49a9b592-5d42-46d6-9152-3152bdfc2a34,in Frankrijk de Minister van Economische Zaken en van Financiën of zijn bevoegde vertegenwoordiger.,nl-nl,en France: le Ministre de l'Economie et des Finances ou son représentant dûment autorisé.,fr-fr,paragraph,Artikel 3 para 10,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
a8813d41-12f1-44c3-9f94-f6879ca00473,"Voor de toepassing van de Overeenkomst door elk van de Staten heeft, tenzij het zinsverband anders vereist, elke niet anders omschreven uitdrukking de betekenis welke die uitdrukking heeft volgens de wetgeving van die Staat met betrekking tot de belastingen die het onderwerp van de Overeenkomst uitmaken.",nl-nl,"Pour l'application de la Convention par chacun des Etats, toute expression qui n'est pas autrement définie a le sens qui lui est attribué par la législation de cet Etat régissant les impôts faisant l'objet de la Convention, à moins que le contexte n'exige une interprétation différente.",fr-fr,paragraph,Artikel 3 para 11,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
f98d5657-f52b-41fa-8ca8-8b2bbe28c676,"Voor de toepassing van deze Overeenkomst betekent de uitdrukking „inwoner van een van de Staten” iedere persoon die, ingevolge de wetgeving van die Staat, aldaar aan belasting is onderworpen op grond van zijn woonplaats, verblijf, plaats van leiding of enige andere soortgelijke omstandigheid.",nl-nl,"Au sens de la présente Convention, l'expression «résident de l'un des Etats"" désigne toute personne qui, en vertu de la législation dudit Etat, est assujettie à l'impôt dans cet Etat, en raison de son domicile, de sa résidence, de son siège de direction ou de tout autre critère de nature analogue.",fr-fr,paragraph,Artikel 4 para 1,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
91c16609-ef40-4232-ad3d-8dcab1e5c2d4,"Voor de toepassing van deze Overeenkomst worden de leden van een diplomatieke of consulaire vertegenwoordiging van een van de Staten in de andere Staat of in een derde Staat die onderdaan zijn van de Staat die hen accrediteert of zendt, geacht inwoner van die Staat te zijn, indien zij aldaar aan dezelfde verplichtingen ter zake van belastingen naar het inkomen en het vermogen zijn onderworpen als inwoners van die Staat.",nl-nl,"Aux fins de la présente Convention, les membres d'une représentation diplomatique ou consulaire de l'un des Etats dans l'autre Etat ou dans un Etat tiers qui possèdent la nationalité de l'Etat accréditant ou d'envoi sont considérés comme des résidents de cet Etat s'ils y sont soumis aux mêmes obligations concernant les impôts sur le revenu et sur la fortune que les résidents dudit Etat.",fr-fr,paragraph,Artikel 4 para 2,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
b0dea1d3-88be-4dd8-84dc-baa3e275d2b0,"Indien een natuurlijke persoon ingevolge de bepaling van het eerste lid inwoner van beide Staten is, gelden de volgende regels:",nl-nl,"Lorsque, selon la disposition du paragraphe 1, une personne physique est considérée comme résidente de chacun des Etats, le cas est résolu d'après les règles suivantes:",fr-fr,paragraph,Artikel 4 para 3,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
c1071f86-0048-47e8-83ab-7a59cafcd4e4,"hij wordt geacht inwoner te zijn van de Staat waar hij een duurzaam tehuis tot zijn beschikking heeft. Indien hij in beide Staten een duurzaam tehuis tot zijn beschikking heeft, wordt hij geacht inwoner te zijn van de Staat waarmede zijn persoonlijke en economische betrekkingen het nauwst zijn (middelpunt van de levensbelangen);",nl-nl,"cette personne est considérée comme résidente de l'Etat où elle dispose d'une foyer d'habitation permanent. Lorsqu'elle dispose d'un foyer d'habitation permanent dans chacun des Etats, elle est considérée comme résidente de l'Etat avec lequel ses liens personnels et économiques sont les plus étroits (centre des intérêts vitaux) ;",fr-fr,paragraph,Artikel 4 para 4,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
b29cc4fb-1a8d-4179-972a-b3873446822f,"indien niet kan worden bepaald in welke Staat hij het middelpunt van zijn levensbelangen heeft, of indien hij in geen van de Staten een duurzaam tehuis tot zijn beschikking heeft, wordt hij geacht inwoner te zijn van de Staat waar hij gewoonlijk verblijft;",nl-nl,"si l'Etat où cette personne a le centre de ses intérêts vitaux ne peut pas être déterminé, ou qu'elle ne dispose d'un foyer d'habitation permanent dans aucun des Etats, elle est considérée comme résidente de l'Etat où elle séjourne de façon habituelle;",fr-fr,paragraph,Artikel 4 para 5,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
e27f35f9-4033-4ddc-a35e-8ee42fdc530a,"indien hij in beide Staten of in geen van beide gewoonlijk verblijft, wordt hij geacht inwoner te zijn van de Staat waarvan hij onderdaan is;",nl-nl,"si cette personne séjourne de façon habituelle dans chacun des Etats ou qu'elle ne séjourne de façon habituelle dans aucun d'eux, elle est considérée comme résidente de l'Etat dont elle possède la nationalité;",fr-fr,paragraph,Artikel 4 para 6,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
494b2039-3c16-4950-84fe-79f78a4da5fb,"indien hij onderdaan is van beide Staten of van geen van beide, regelen de bevoegde autoriteiten van de Staten de aangelegenheid in onderlinge overeenstemming.",nl-nl,"si cette personne possède la nationalité de chacun des Etats ou qu'elle ne possède la nationalité d'aucun d'eux, les autorités compétentes des Etats tranchent la question d'un commun accord.",fr-fr,paragraph,Artikel 4 para 7,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
58e9dec7-6f5b-40f0-b160-64443f14d703,"Indien een andere dan een natuurlijke persoon ingevolge de bepaling van het eerste lid inwoner van beide Staten is, wordt hij geacht inwoner te zijn van de Staat waar de plaats van zijn werkelijke leiding is gelegen.",nl-nl,"Lorsque, selon la disposition du paragraphe 1, une personne autre qu'une personne physique est considérée comme résidente de chacun des Etats, elle est réputée résident de l'Etat où se trouve son siège de direction effective.",fr-fr,paragraph,Artikel 4 para 8,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
e6f19af1-85a5-40ba-ab5a-295e84968a2e,Voor de toepassing van deze Overeenkomst betekent de uitdrukking „vaste inrichting” een vaste bedrijfsinrichting waarin de werkzaamheden van de onderneming geheel of gedeeltelijk worden uitgeoefend.,nl-nl,"Au sens de la présente Convention, l'expression „établissement stable„ désigne une installation fixe d'affaires où l'entreprise exerce tout ou partie de son activité.",fr-fr,paragraph,Artikel 5 para 1,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
02764299-9fa1-42ca-a416-68bfaa45d5f9,De uitdrukking „vaste inrichting” omvat in het bijzonder:,nl-nl,L'expression „établissement stable„ comprend notamment:,fr-fr,paragraph,Artikel 5 para 2,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
fcb16b52-4862-4da7-a703-57c3e86e4194,een plaats waar leiding wordt gegeven;,nl-nl,un siège de direction;,fr-fr,paragraph,Artikel 5 para 3,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
3cf5fde8-e447-43a5-afb2-d7d83fa82c3b,een filiaal;,nl-nl,une succursale;,fr-fr,paragraph,Artikel 5 para 4,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
4d11d707-fc36-4b53-be4c-b6cdfb35e26a,een kantoor;,nl-nl,un bureau;,fr-fr,paragraph,Artikel 5 para 5,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
9f9ce36c-9cb9-4184-bf5a-e99490d3489b,een fabriek;,nl-nl,une usine;,fr-fr,paragraph,Artikel 5 para 6,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
5c53b08f-7562-4911-b10f-ff71e9e79257,een werkplaats;,nl-nl,un atelier;,fr-fr,paragraph,Artikel 5 para 7,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
02f2bf1c-8bbc-4c30-a582-2b25b3c5ceec,"een mijn, een steengroeve of een andere plaats waar natuurlijke rijkdommen worden gewonnen;",nl-nl,"une mine, une carrière ou tout autre lieu d'extraction de ressources naturelles;",fr-fr,paragraph,Artikel 5 para 8,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
d8325b5c-8d75-4be8-81bd-ec092ffe9427,"de plaats van uitvoering van een bouwwerk of van constructie- of montagewerkzaamheden, waarvan de duur twaalf maanden overschrijdt.",nl-nl,un chantier de construction ou de montage dont la durée dépasse douze mois.,fr-fr,paragraph,Artikel 5 para 9,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
9b1a8d6c-1ae0-42c4-8897-a9af3e1e7747,"Een vaste inrichting wordt niet aanwezig geacht, indien:",nl-nl,On ne considère pas qu'il y a établissement stable si:,fr-fr,paragraph,Artikel 5 para 10,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
a83a4c01-2ca4-49af-ab79-ce34bba2e5ad,"gebruik wordt gemaakt van inrichtingen, uitsluitend voor de opslag, uitstalling of aflevering van aan de onderneming toebehorende goederen;",nl-nl,"il est fait usage d'installations aux seules fins de stockage, d'exposition ou de livraison de marchandises appartenant à l'entreprise;",fr-fr,paragraph,Artikel 5 para 11,BWBV0004110_2005-07-24_0.xml,BWBV0004110,2025-11-30,tax_treaty
